,DQCode,DQName,DateType,HYCode,HYName,HdDate,Hkcode,JG_SUM,LTSZ,LTZB,LTZB_One,Market,NewPrice,ORIGINALCODE,ORIGINALCODE_DQ,SCode,SName,ShareHold,ShareHold_Before_One,ShareHold_Chg_One,ShareSZ,ShareSZ_Before_One,ShareSZ_Chg_One,ShareSZ_Chg_Rate_One,SharesRate,ZSZ,ZZB,ZZB_One,Zdf
61,020005,广东板块,3,016028,保险,2021-07-26,1000002667,97.0,590380215141.0,0.0793765181372277,9.06964537038532e-05,001,54.5,474,153,601318,中国平安,859859190.0,0.0,287063.0,46862325855.0,0.0,57062685.48,0.00114299222051465,7.93,996273156845.0,0.0470376277158804,5.37456936205872e-05,-5.4476
62,020005,广东板块,1,016028,保险,2021-07-26,1000002667,97.0,590380215141.0,0.0793765181372277,-0.000880538825987862,001,54.5,474,153,601318,中国平安,859859190.0,0.0,-10088144.0,46862325855.0,0.0,-549803848.0,-0.0109645507338141,7.93,996273156845.0,0.0470376277158804,-0.000521797358440318,-5.4476
63,020015,江苏板块,y,016024,医药制造,2021-07-26,1000001934,95.0,377084389547.88,0.120725888775461,0.00494003642149962,001,59.22,465,159,600276,恒瑞医药,768724216.0,0.0,25040128.2,45523848071.52,0.0,2474843674.52,0.0425258266159647,12.07,378858623116.68,0.120160517126463,0.00492978499597682,-3.6917
64,020015,江苏板块,jd,016024,医药制造,2021-07-26,1000001934,95.0,377084389547.88,0.120725888775461,-0.00516762234067238,001,59.22,465,159,600276,恒瑞医药,768724216.0,0.0,-27913622.8,45523848071.52,0.0,-2280859784.78,-0.0410406971721593,12.07,378858623116.68,0.120160517126463,-0.0051429532787114,-3.6917
65,020015,江苏板块,m,016024,医药制造,2021-07-26,1000001934,95.0,377084389547.88,0.120725888775461,0.00141054786865402,001,59.22,465,159,600276,恒瑞医药,768724216.0,0.0,9686192.0,45523848071.52,0.0,610754805.38,0.0118329886388034,12.07,378858623116.68,0.120160517126463,0.00140394212913468,-3.6917
66,020015,江苏板块,10,016024,医药制造,2021-07-26,1000001934,95.0,377084389547.88,0.120725888775461,0.00138047184367476,001,59.22,465,159,600276,恒瑞医药,768724216.0,0.0,8685864.0,45523848071.52,0.0,554836079.38,0.0115654409731705,12.07,378858623116.68,0.120160517126463,0.00137400695324761,-3.6917
67,020015,江苏板块,5,016024,医药制造,2021-07-26,1000001934,95.0,377084389547.88,0.120725888775461,0.000950777291103061,001,59.22,465,159,600276,恒瑞医药,768724216.0,0.0,5544818.0,45523848071.52,0.0,369057392.91,0.00793272342899815,12.07,378858623116.68,0.120160517126463,0.000946324704086694,-3.6917
68,020015,江苏板块,3,016024,医药制造,2021-07-26,1000001934,95.0,377084389547.88,0.120725888775461,-0.000721880145608675,001,59.22,465,159,600276,恒瑞医药,768724216.0,0.0,-4882599.0,45523848071.52,0.0,-289492891.75,-0.00594175802219027,12.07,378858623116.68,0.120160517126463,-0.000718499507268038,-3.6917
69,020015,江苏板块,1,016024,医药制造,2021-07-26,1000001934,95.0,377084389547.88,0.120725888775461,-0.000646818357209271,001,59.22,465,159,600276,恒瑞医药,768724216.0,0.0,-4276501.0,45523848071.52,0.0,-253254389.22,-0.00532810274712782,12.07,378858623116.68,0.120160517126463,-0.000643789240878657,-3.6917
70,020005,广东板块,y,016029,银行,2021-07-26,1000001536,61.0,364828184130.0,0.114302562101235,0.0447893303345661,003,18.8,475,153,000001,平安银行,2218127456.0,0.0,578088854.0,41700796172.8,0.0,11594736700.12,0.529969639809376,11.43,364831262122.4,0.114301597758389,0.0447889483150037,-6.4677
71,020005,广东板块,jd,016029,银行,2021-07-26,1000001536,61.0,364828184130.0,0.114302562101235,0.00335567639959677,003,18.8,475,153,000001,平安银行,2218127456.0,0.0,60956861.0,41700796172.8,0.0,1498398137.41,0.0301874281334374,11.43,364831262122.4,0.114301597758389,0.00335564808857322,-6.4677
72,020005,广东板块,m,016029,银行,2021-07-26,1000001536,61.0,364828184130.0,0.114302562101235,-0.000580470522017291,003,18.8,475,153,000001,平安银行,2218127456.0,0.0,-11279094.0,41700796172.8,0.0,-259983931.37,-0.00505267575814857,11.43,364831262122.4,0.114301597758389,-0.000580465624729036,-6.4677
73,020005,广东板块,10,016029,银行,2021-07-26,1000001536,61.0,364828184130.0,0.114302562101235,0.000405988195712586,003,18.8,475,153,000001,平安银行,2218127456.0,0.0,9079953.0,41700796172.8,0.0,166709213.32,0.00356647253399815,11.43,364831262122.4,0.114301597758389,0.000405984770489173,-6.4677
74,020005,广东板块,5,016029,银行,2021-07-26,1000001536,61.0,364828184130.0,0.114302562101235,0.000880504415321289,003,18.8,475,153,000001,平安银行,2218127456.0,0.0,18448776.0,41700796172.8,0.0,362412141.48,0.00776788567040999,11.43,364831262122.4,0.114301597758389,0.000880496986720234,-6.4677
75,020005,广东板块,3,016029,银行,2021-07-26,1000001536,61.0,364828184130.0,0.114302562101235,0.000793981211035589,003,18.8,475,153,000001,平安银行,2218127456.0,0.0,16086706.0,41700796172.8,0.0,315089600.78,0.00699705690692591,11.43,364831262122.4,0.114301597758389,0.000793974512409712,-6.4677
76,020005,广东板块,1,016029,银行,2021-07-26,1000001536,61.0,364828184130.0,0.114302562101235,0.000379356897226236,003,18.8,475,153,000001,平安银行,2218127456.0,0.0,7870761.0,41700796172.8,0.0,147970306.8,0.00333070218614139,11.43,364831262122.4,0.114301597758389,0.000379353696684595,-6.4677
77,020005,广东板块,y,016047,医疗行业,2021-07-26,1001002427,35.0,204819745232.4,0.17051725184709,0.0528839517077674,003,410.35,727,153,300760,迈瑞医疗,85111003.0,0.0,21802909.0,34925300081.05,0.0,8974441424.52,0.416948144309447,7.0,498858911003.1,0.0700103763022346,0.021712907751587,-5.6667
78,020005,广东板块,jd,016047,医疗行业,2021-07-26,1001002427,35.0,204819745232.4,0.17051725184709,0.027769784085717,003,410.35,727,153,300760,迈瑞医疗,85111003.0,0.0,12292086.0,34925300081.05,0.0,5746431500.23,0.190346839971037,7.0,498858911003.1,0.0700103763022346,0.0114016207311168,-5.6667
